true_label,prediction,count
virtual_card_not_working,get_disposable_virtual_card,2
automatic_top_up,balance_not_updated_after_bank_transfer,2
automatic_top_up,lost_or_stolen_phone,2
visa_or_mastercard,get_physical_card,2
atm_support,transfer_into_account,2
card_not_working,activate_my_card,2
virtual_card_not_working,declined_card_payment,2
top_up_by_bank_transfer_charge,transfer_into_account,2
card_payment_not_recognised,card_payment_fee_charged,2
disposable_card_limits,card_linking,2
top_up_limits,top_up_by_card_charge,2
card_acceptance,card_payment_not_recognised,2
card_acceptance,card_not_working,2
card_linking,compromised_card,2
pending_transfer,transfer_timing,2
cash_withdrawal_not_recognised,pending_cash_withdrawal,2
cash_withdrawal_not_recognised,transaction_charged_twice,2
pin_blocked,passcode_forgotten,2
receiving_money,apple_pay_or_google_pay,2
receiving_money,reverted_card_payment?,2
lost_or_stolen_phone,pin_blocked,2
pending_cash_withdrawal,atm_support,2
pending_cash_withdrawal,cash_withdrawal_charge,2
contactless_not_working,reverted_card_payment?,2
cash_withdrawal_not_recognised,extra_charge_on_statement,2
country_support,card_not_working,2
country_support,card_swallowed,2
pending_top_up,card_acceptance,2
top_up_reverted,card_linking,2
top_up_failed,verify_top_up,2
supported_cards_and_currencies,card_arrival,2
reverted_card_payment?,pending_card_payment,2
supported_cards_and_currencies,pending_card_payment,2
receiving_money,balance_not_updated_after_cheque_or_cash_deposit,2
declined_card_payment,card_not_working,2
contactless_not_working,declined_card_payment,2
receiving_money,request_refund,2
receiving_money,exchange_rate,2
card_arrival,transfer_timing,2
card_arrival,transfer_into_account,2
card_arrival,pending_card_payment,2
transaction_charged_twice,receiving_money,2
top_up_reverted,top_up_failed,2
topping_up_by_card,card_payment_fee_charged,2
topping_up_by_card,compromised_card,2
topping_up_by_card,top_up_failed,2
transfer_not_received_by_recipient,transaction_charged_twice,2
beneficiary_not_allowed,exchange_rate,2
top_up_reverted,Refund_not_showing_up,2
country_support,card_linking,2
declined_cash_withdrawal,failed_transfer,2
declined_cash_withdrawal,cash_withdrawal_charge,2
contactless_not_working,pending_card_payment,2
pending_top_up,activate_my_card,2
topping_up_by_card,verify_top_up,2
cancel_transfer,reverted_card_payment?,2
card_arrival,lost_or_stolen_card,2
declined_cash_withdrawal,atm_support,2
transfer_not_received_by_recipient,transfer_into_account,2
transfer_timing,card_swallowed,2
transfer_fee_charged,receiving_money,2
transfer_into_account,top_up_by_bank_transfer_charge,2
transfer_into_account,transfer_not_received_by_recipient,2
getting_virtual_card,card_not_working,2
declined_transfer,transfer_into_account,2
lost_or_stolen_phone,compromised_card,2
topping_up_by_card,verify_source_of_funds,2
lost_or_stolen_phone,verify_my_identity,2
declined_transfer,card_payment_fee_charged,2
lost_or_stolen_card,card_arrival,2
passcode_forgotten,change_pin,2
declined_cash_withdrawal,cancel_transfer,2
balance_not_updated_after_bank_transfer,verify_my_identity,2
transfer_not_received_by_recipient,exchange_rate,2
transfer_not_received_by_recipient,cash_withdrawal_not_recognised,2
balance_not_updated_after_cheque_or_cash_deposit,pending_card_payment,2
card_about_to_expire,card_payment_fee_charged,2
balance_not_updated_after_cheque_or_cash_deposit,pending_transfer,2
get_physical_card,activate_my_card,2
getting_spare_card,card_payment_fee_charged,2
declined_transfer,card_payment_not_recognised,2
direct_debit_payment_not_recognised,lost_or_stolen_phone,2
direct_debit_payment_not_recognised,extra_charge_on_statement,2
verify_source_of_funds,edit_personal_details,2
declined_transfer,declined_cash_withdrawal,2
get_physical_card,compromised_card,2
direct_debit_payment_not_recognised,request_refund,2
direct_debit_payment_not_recognised,receiving_money,2
get_physical_card,why_verify_identity,2
balance_not_updated_after_bank_transfer,balance_not_updated_after_cheque_or_cash_deposit,2
verify_top_up,unable_to_verify_identity,2
virtual_card_not_working,card_payment_not_recognised,2
visa_or_mastercard,change_pin,2
exchange_charge,card_payment_wrong_exchange_rate,2
balance_not_updated_after_bank_transfer,failed_transfer,2
atm_support,card_linking,2
beneficiary_not_allowed,card_not_working,2
get_physical_card,card_not_working,2
verify_top_up,activate_my_card,2
