true_label,prediction,count
unable_to_verify_identity,why_verify_identity,1
unable_to_verify_identity,passcode_forgotten,1
card_linking,order_physical_card,1
card_linking,direct_debit_payment_not_recognised,1
card_linking,compromised_card,1
card_linking,card_acceptance,1
card_delivery_estimate,transfer_timing,1
visa_or_mastercard,apple_pay_or_google_pay,1
virtual_card_not_working,reverted_card_payment?,1
virtual_card_not_working,failed_transfer,1
virtual_card_not_working,disposable_card_limits,1
virtual_card_not_working,card_payment_not_recognised,1
virtual_card_not_working,card_acceptance,1
virtual_card_not_working,activate_my_card,1
verify_top_up,why_verify_identity,1
verify_top_up,verify_my_identity,1
verify_top_up,activate_my_card,1
apple_pay_or_google_pay,top_up_by_card_charge,1
apple_pay_or_google_pay,declined_card_payment,1
apple_pay_or_google_pay,card_payment_fee_charged,1
apple_pay_or_google_pay,activate_my_card,1
age_limit,request_refund,1
age_limit,receiving_money,1
